Entity,Code,Year,"Indicator:Alcohol-attributable fractions, all-cause deaths (%) - Sex:Both sexes"
Afghanistan,AFG,2016,0.2
Albania,ALB,2016,6.4
Algeria,DZA,2016,1
Angola,AGO,2016,6.8
Antigua and Barbuda,ATG,2016,4.5
Argentina,ARG,2016,4.4
Armenia,ARM,2016,6
Australia,AUS,2016,4.6
Austria,AUT,2016,5.3
Azerbaijan,AZE,2016,5.9
Bahamas,BHS,2016,4.7
Bahrain,BHR,2016,1.9
Bangladesh,BGD,2016,0.9
Barbados,BRB,2016,3.6
Belarus,BLR,2016,24
Belgium,BEL,2016,5.4
Belize,BLZ,2016,6.5
Benin,BEN,2016,2.6
Bhutan,BTN,2016,2.4
Bolivia,BOL,2016,6.1
Bosnia and Herzegovina,BIH,2016,4.6
Botswana,BWA,2016,5.7
Brazil,BRA,2016,6.9
Brunei,BRN,2016,2.2
Bulgaria,BGR,2016,5.9
Burkina Faso,BFA,2016,4.5
Burundi,BDI,2016,5
Cambodia,KHM,2016,8
Cameroon,CMR,2016,6
Canada,CAN,2016,4.5
Cape Verde,CPV,2016,4.5
Central African Republic,CAF,2016,3.6
Chad,TCD,2016,1.8
Chile,CHL,2016,5.4
China,CHN,2016,3.8
Colombia,COL,2016,5.1
Comoros,COM,2016,0.9
Congo,COG,2016,8.3
Costa Rica,CRI,2016,4.1
Cote d'Ivoire,CIV,2016,5.7
Croatia,HRV,2016,6.1
Cuba,CUB,2016,4.2
Cyprus,CYP,2016,3.6
Czechia,CZE,2016,6.2
Democratic Republic of Congo,COD,2016,4
Denmark,DNK,2016,5.6
Djibouti,DJI,2016,1.7
Dominican Republic,DOM,2016,6.6
Ecuador,ECU,2016,5.7
Egypt,EGY,2016,1.8
El Salvador,SLV,2016,7.2
Equatorial Guinea,GNQ,2016,9.4
Eritrea,ERI,2016,2.2
Estonia,EST,2016,20.2
Eswatini,SWZ,2016,5
Ethiopia,ETH,2016,3.4
Fiji,FJI,2016,1.7
Finland,FIN,2016,5.8
France,FRA,2016,5.8
Gabon,GAB,2016,11.4
Gambia,GMB,2016,3.3
Georgia,GEO,2016,8.1
Germany,DEU,2016,5.2
Ghana,GHA,2016,3.4
Greece,GRC,2016,4
Grenada,GRD,2016,4.6
Guatemala,GTM,2016,5.5
Guinea,GIN,2016,1.6
Guinea-Bissau,GNB,2016,4
Guyana,GUY,2016,6.4
Haiti,HTI,2016,4.4
Honduras,HND,2016,5.2
Hungary,HUN,2016,6.9
Iceland,ISL,2016,3.8
India,IND,2016,5.4
Indonesia,IDN,2016,1.7
Iran,IRN,2016,0.5
Iraq,IRQ,2016,0.5
Ireland,IRL,2016,5.1
Israel,ISR,2016,2.5
Italy,ITA,2016,3.6
Jamaica,JAM,2016,2.7
Japan,JPN,2016,4.2
Jordan,JOR,2016,1
Kazakhstan,KAZ,2016,10.3
Kenya,KEN,2016,4
Kiribati,KIR,2016,1.3
Kuwait,KWT,2016,0.4
Kyrgyzstan,KGZ,2016,10.9
Laos,LAO,2016,7
Latvia,LVA,2016,21.5
Lebanon,LBN,2016,1.3
Lesotho,LSO,2016,3.3
Liberia,LBR,2016,5.2
Libya,LBY,2016,0.2
Lithuania,LTU,2016,24.5
Luxembourg,LUX,2016,5.8
Madagascar,MDG,2016,2.8
Malawi,MWI,2016,3
Malaysia,MYS,2016,2.1
Maldives,MDV,2016,1.7
Mali,MLI,2016,1.3
Malta,MLT,2016,3.5
Mauritania,MRT,2016,0.2
Mauritius,MUS,2016,3
Mexico,MEX,2016,6
Micronesia (country),FSM,2016,2.4
Moldova,MDA,2016,26.1
Mongolia,MNG,2016,11.6
Montenegro,MNE,2016,6.2
Morocco,MAR,2016,0.8
Mozambique,MOZ,2016,2.4
Myanmar,MMR,2016,6.6
Namibia,NAM,2016,6.1
Nepal,NPL,2016,2.3
Netherlands,NLD,2016,3.6
New Zealand,NZL,2016,4.2
Nicaragua,NIC,2016,7.7
Niger,NER,2016,1
Nigeria,NGA,2016,7.9
North Korea,PRK,2016,3.4
North Macedonia,MKD,2016,4.3
Norway,NOR,2016,3.4
Oman,OMN,2016,1.6
Pakistan,PAK,2016,0.6
Panama,PAN,2016,5.3
Papua New Guinea,PNG,2016,2.3
Paraguay,PRY,2016,6.3
Peru,PER,2016,6.9
Philippines,PHL,2016,5.2
Poland,POL,2016,6.9
Portugal,PRT,2016,5.9
Qatar,QAT,2016,6.9
Romania,ROU,2016,8.6
Russia,RUS,2016,21.6
Rwanda,RWA,2016,6.7
Saint Lucia,LCA,2016,6.3
Saint Vincent and the Grenadines,VCT,2016,4.4
Samoa,WSM,2016,2.4
Sao Tome and Principe,STP,2016,7
Saudi Arabia,SAU,2016,0.2
Senegal,SEN,2016,1.6
Serbia,SRB,2016,4.5
Seychelles,SYC,2016,8.6
Sierra Leone,SLE,2016,4.6
Singapore,SGP,2016,2.4
Slovakia,SVK,2016,8.3
Slovenia,SVN,2016,8
Solomon Islands,SLB,2016,2.1
Somalia,SOM,2016,0.2
South Africa,ZAF,2016,6.4
South Korea,KOR,2016,7.6
South Sudan,SSD,2016,3
Spain,ESP,2016,4.3
Sri Lanka,LKA,2016,4.6
Sudan,SDN,2016,0.7
Suriname,SUR,2016,5
Sweden,SWE,2016,3.6
Switzerland,CHE,2016,4.5
Syria,SYR,2016,0.1
Tajikistan,TJK,2016,5.3
Tanzania,TZA,2016,7.3
Thailand,THA,2016,7.4
Timor,TLS,2016,2.9
Togo,TGO,2016,2.7
Tonga,TON,2016,1.7
Trinidad and Tobago,TTO,2016,4.8
Tunisia,TUN,2016,1.4
Turkey,TUR,2016,1.4
Turkmenistan,TKM,2016,9.3
Uganda,UGA,2016,6.5
Ukraine,UKR,2016,20.5
United Arab Emirates,ARE,2016,3.5
United Kingdom,GBR,2016,4.6
United States,USA,2016,4.9
Uruguay,URY,2016,3.9
Uzbekistan,UZB,2016,6.5
Vanuatu,VUT,2016,1.8
Venezuela,VEN,2016,6.7
Vietnam,VNM,2016,7.3
Yemen,YEM,2016,0.1
Zambia,ZMB,2016,4.2
Zimbabwe,ZWE,2016,3.1