,Unnamed: 0,Country,wine_as_share_alcohol_consumption,beer_as_share_alcohol_consumption,spirits_as_share_alcohol_consumption,tot_alcohol_consumption_per_capita_liters,gdp_per_capita,Population,percent_who_have_not_drank_alcohol_in_last_year,perc_life_no_drink,total_alcohol_consumption_per_capita_liters,percent_who_have_drank_alcohol_in_last_year,prev_alc_use_disorders_age_10_14,prev_alc_use_disorders_age_15_19,prev_alc_use_disorders_all_ages,prev_alc_use_disorders_age_25_29,prev_alc_use_disorders_age_30_34,prev_alc_use_disorders_age_20_24,prev_alc_use_disorders_age_70+,prev_alc_use_disorders_age_15_49,prev_alc_use_disorders_age_5_14,prev_alc_use_disorders_age_50_69,prev_alc_use_disorders_age_standardized,daly_alc_use_disorders_all_ages,daly_alc_use_disorders_70+,daly_alc_use_disorders_5_14,daly_alc_use_disorders_15_49,daly_alc_use_disorders__all_ages_standardized,daly_alc_use_disorders_50_69,share_alc_use_disorders_both_sexes,share_alc_use_disorders_female,share_alc_use_disorders_male,perc_heavy_drinkers_both_sexes,perc_heavy_drinkers_female,perc_heavy_drinkers_male,perc_consume_alc_past12,perc_consume_alc_past12Female,perc_consume_alc_past12Male,Region,perc_dependent,perc_dependent_female,perc_dependent_male,alc_attributed_fraction_deaths,too_many_alc_deaths
57,60,Gabon,9.2,76.3,13.4,9.56999969482422,15510.0390625,2028524.0,33.5,18.3,9.56999969482422,66.5,0.05,0.44,1.08,1.93,2.28,1.27,0.77,1.65,0.03,1.6,1.17,143.93,137.72,2.36,201.86,165.19,322.48,6.9,2.1,11.5,86.2,75.6,93.3,66.5,54.1,78.6,Africa,2.4,0.8,3.9,11.4,1
58,61,Gambia,2.1,8.5,0.0,3.670000076293945,2058.658203125,2253137.0,73.3,68.5,3.670000076293945,26.7,0.04,0.26,0.4,0.86,0.95,0.63,0.56,0.67,0.03,0.68,0.51,59.23,141.34,1.98,89.66,86.64,176.61,1.0,0.1,1.9,38.1,16.8,47.7,26.7,16.2,37.8,Africa,0.7,0.0,1.4,3.3,0
59,62,Georgia,43.0,18.4,38.5,9.609999656677246,12605.1396484375,3771135.0,64.9,33.9,9.609999656677246,35.1,0.1,1.23,2.39,4.33,4.43,3.45,1.73,3.48,0.05,2.26,2.23,272.17,174.4,4.3,403.86,248.94,274.91,4.6,1.0,8.8,47.0,23.9,59.4,35.1,23.0,48.9,Europe,2.1,0.2,4.3,8.1,1
60,63,Germany,28.4,52.6,18.9,13.0600004196167,51159.296875,82073232.0,20.6,7.9,13.0600004196167,79.4,0.14,1.46,2.31,3.81,3.52,3.62,1.23,3.15,0.08,2.45,2.15,446.67,279.49,6.35,453.7,345.26,742.5,6.8,4.0,9.8,43.1,24.4,58.7,79.4,70.6,88.5,Europe,3.5,2.0,5.0,5.2,0
61,64,Ghana,6.6,28.3,8.0,3.119999885559082,4785.99462890625,28870946.0,74.0,69.5,3.119999885559082,26.0,0.04,0.26,0.48,0.91,1.03,0.64,0.57,0.74,0.03,0.7,0.54,72.41,131.49,1.99,101.88,91.36,180.97,4.1,1.0,7.3,36.2,15.4,45.5,26.0,15.7,36.8,Africa,1.4,0.4,2.5,3.4,0
62,65,Greece,45.5,31.5,21.8,10.489999771118164,28260.38671875,10806644.0,34.6,15.0,10.489999771118164,65.4,0.14,1.59,1.66,3.88,3.26,3.98,0.66,2.68,0.08,1.21,1.75,169.93,68.88,6.46,274.8,168.69,141.5,6.1,2.9,9.4,36.1,18.0,49.4,65.4,53.3,78.3,Europe,2.7,1.3,4.2,4.0,0
63,66,Grenada,7.0,40.9,48.3,9.06999969482422,15142.0625,118994.0,50.4,26.6,9.06999969482422,49.6,0.07,0.74,1.71,2.51,2.69,2.0,1.26,2.23,0.04,2.18,1.58,299.57,249.65,3.43,339.99,272.11,554.99,6.6,3.6,9.6,50.8,27.8,63.7,49.6,35.7,63.6,Americas,2.8,1.8,3.9,4.6,0
64,67,Guatemala,2.1,56.1,41.7,2.549999952316284,8125.65576171875,16001105.0,72.7,38.2,2.549999952316284,27.3,0.09,1.37,3.27,6.93,7.57,4.62,2.84,5.15,0.05,3.59,3.51,702.59,603.66,4.43,1061.74,820.59,1263.83,6.4,3.7,9.5,35.0,14.9,44.6,27.3,16.9,38.6,Americas,2.8,1.8,3.9,5.5,0
65,68,Guinea,8.9,91.1,0.0,1.0700000524520874,2087.93505859375,11626003.0,78.4,73.6,1.0700000524520874,21.6,0.04,0.24,0.37,0.84,0.94,0.61,0.53,0.66,0.03,0.65,0.5,59.1,139.69,2.25,92.34,89.8,185.2,0.7,0.0,1.4,33.4,13.5,41.6,21.6,12.6,30.7,Africa,0.7,0.0,1.4,1.6,0
66,69,Guinea-Bissau,31.3,13.7,13.7,5.050000190734863,1800.0633544921875,1788931.0,71.2,66.1,5.050000190734863,28.8,0.05,0.25,0.43,0.92,1.04,0.64,0.56,0.73,0.03,0.7,0.54,70.68,146.35,2.2,106.95,105.75,227.5,1.0,0.1,2.0,39.5,17.5,49.2,28.8,17.5,40.5,Africa,0.7,0.0,1.4,4.0,0
67,70,Guyana,0.2,48.4,50.8,7.349999904632568,11261.779296875,755043.0,60.9,36.3,7.349999904632568,39.1,0.07,0.87,2.0,3.25,3.54,2.51,1.65,2.81,0.04,2.56,2.0,325.83,252.34,3.67,429.3,327.96,572.84,7.2,3.8,10.5,45.7,22.7,57.0,39.1,25.9,52.2,Americas,2.9,1.9,3.9,6.4,1
68,71,Haiti,0.3,2.3,97.3,2.690000057220459,3102.344970703125,10563762.0,64.9,40.4,2.690000057220459,35.1,0.07,0.71,1.39,2.38,2.55,1.92,1.44,2.11,0.03,2.18,1.53,252.04,301.82,3.27,345.62,302.55,632.19,6.9,3.8,10.3,44.1,21.5,55.5,35.1,22.9,47.9,Americas,2.8,1.8,3.9,4.4,0
69,72,Honduras,1.2,46.6,52.1,3.490000009536743,5283.4169921875,9294510.0,70.2,34.8,3.490000009536743,29.8,0.08,1.0,2.13,4.24,4.71,2.97,2.24,3.31,0.04,2.58,2.35,337.83,508.33,4.02,447.5,414.23,872.23,6.7,3.7,9.7,37.3,16.3,46.8,29.8,18.5,41.3,Americas,2.9,1.8,3.9,5.2,0
70,73,Hungary,32.2,35.5,32.3,11.600000381469728,27531.64453125,9844250.0,33.4,14.2,11.600000381469728,66.6,0.09,1.06,2.8,3.59,3.75,2.91,2.4,3.3,0.05,3.38,2.35,431.16,334.1,4.21,444.62,331.49,692.65,21.2,7.2,36.9,50.3,29.7,66.3,66.6,54.8,79.9,Europe,9.4,3.2,16.5,6.9,1
71,74,Iceland,27.9,56.5,15.5,8.739999771118164,52142.93359375,331068.0,28.5,12.7,8.739999771118164,71.5,0.14,1.56,2.33,4.32,4.05,4.01,1.25,3.44,0.08,2.06,2.24,297.35,178.86,6.2,404.43,269.02,380.07,4.4,2.0,6.7,39.2,20.5,52.9,71.5,60.3,82.6,Europe,1.9,0.9,3.0,3.8,0
72,75,India,0.1,7.5,92.4,5.539999961853027,5464.39404296875,1322866560.0,61.2,53.5,5.539999961853027,38.8,0.05,0.43,1.22,1.7,2.03,1.15,1.66,1.61,0.03,1.97,1.25,181.88,214.69,2.67,240.52,187.13,319.23,4.9,0.5,9.1,44.4,21.4,55.1,38.8,25.4,51.4,South-East Asia,3.8,0.4,7.0,5.4,0
73,76,Indonesia,76.4,18.5,4.6,0.6000000238418579,10149.603515625,259091968.0,77.3,57.2,0.6000000238418579,22.7,0.04,0.28,0.52,0.93,0.96,0.74,0.35,0.75,0.02,0.51,0.49,60.5,42.56,1.73,88.42,57.04,67.11,0.8,0.3,1.4,28.6,10.8,35.9,22.7,13.2,32.3,South-East Asia,0.7,0.2,1.3,1.7,0
74,77,Iraq,2.4,71.0,25.7,0.3700000047683716,9946.9765625,37757812.0,96.9,93.8,0.3700000047683716,3.1,0.04,0.29,0.41,0.82,0.83,0.7,0.21,0.65,0.02,0.37,0.41,43.93,28.02,1.91,70.49,45.97,50.07,0.4,0.1,0.7,20.1,6.5,24.5,3.1,1.5,4.7,Eastern Mediterranean,0.2,0.1,0.3,0.5,0
75,78,Ireland,28.0,47.0,18.8,12.470000267028809,71508.734375,4665764.0,18.7,7.4,12.470000267028809,81.3,0.2,2.41,3.71,6.7,6.12,6.45,1.6,5.59,0.1,3.16,3.58,412.69,182.49,8.45,624.05,382.46,433.44,8.5,4.1,13.0,46.5,27.6,62.2,81.3,73.1,89.5,Europe,3.8,1.8,5.8,5.1,0
76,79,Israel,4.7,54.4,39.5,3.859999895095825,37306.1328125,8007777.0,45.0,24.4,3.859999895095825,55.0,0.1,0.9,0.88,1.95,1.65,2.04,0.4,1.45,0.05,0.63,0.9,102.85,63.47,4.23,164.52,104.51,111.41,5.9,2.1,9.8,31.1,13.7,42.1,55.0,41.6,68.9,Europe,3.3,1.3,5.4,2.5,0
77,80,Italy,64.8,25.4,9.8,7.590000152587891,40247.828125,60232908.0,32.2,27.4,7.590000152587891,67.8,0.1,1.17,1.5,3.32,2.98,3.14,0.8,2.37,0.05,1.14,1.53,160.86,86.4,4.5,250.08,154.0,140.03,1.3,1.0,1.7,32.6,15.2,44.9,67.8,54.4,81.2,Europe,0.6,0.5,0.8,3.6,0
78,81,Jamaica,4.8,36.3,54.2,4.190000057220459,9473.1064453125,2794455.0,65.1,40.8,4.190000057220459,34.9,0.07,0.7,1.18,2.15,2.13,1.82,0.81,1.68,0.04,1.15,1.1,124.39,88.19,3.4,175.63,115.81,140.26,5.2,2.3,8.2,40.8,19.2,51.3,34.9,22.6,47.4,Americas,1.5,0.5,2.5,2.7,0
79,82,Japan,5.5,18.2,40.0,7.869999885559082,40402.58203125,127250936.0,43.0,9.1,7.869999885559082,57.0,0.05,0.41,0.66,1.15,1.13,1.0,0.41,0.92,0.03,0.68,0.63,78.21,47.32,2.22,106.25,69.11,92.81,3.4,1.4,5.7,40.0,20.3,53.0,57.0,43.7,71.3,Western Pacific,1.1,0.2,2.1,4.2,0
80,83,Jordan,2.6,19.9,75.9,0.6899999976158142,10145.8369140625,9494250.0,97.0,93.9,0.6899999976158142,3.0,0.04,0.29,0.42,0.84,0.85,0.7,0.23,0.66,0.02,0.36,0.42,45.04,30.06,1.89,71.87,46.12,50.02,0.4,0.1,0.7,19.8,6.3,23.9,3.0,1.4,4.5,Eastern Mediterranean,0.2,0.1,0.3,1.0,0
81,84,Kazakhstan,6.5,30.5,62.9,4.659999847412109,24290.41796875,17835908.0,60.1,31.5,4.659999847412109,39.9,0.1,1.16,3.91,6.56,7.74,3.82,3.15,5.39,0.05,4.76,3.66,729.81,455.19,4.16,962.39,677.75,1215.44,6.0,2.2,10.3,49.2,26.0,62.2,39.9,27.2,54.3,Europe,3.3,1.4,5.5,10.3,1
82,85,Kenya,1.8,39.8,21.4,2.7699999809265137,4075.501953125,46851496.0,76.1,63.1,2.7699999809265137,23.9,0.05,0.32,0.59,1.18,1.31,0.84,0.9,0.93,0.03,1.01,0.72,78.27,179.09,2.21,114.17,108.2,218.57,4.0,0.9,7.1,46.0,21.9,56.1,23.9,14.0,33.8,Africa,1.4,0.4,2.4,4.0,0
83,86,Kiribati,0.0,100.0,0.0,0.5199999809265137,2168.999267578125,116717.0,87.9,70.5,0.5199999809265137,12.1,0.04,0.29,0.55,1.02,1.16,0.75,0.39,0.88,0.02,0.59,0.58,75.2,56.83,1.97,123.41,81.53,90.42,5.2,1.8,8.9,57.9,31.7,68.1,12.1,6.5,18.1,Western Pacific,2.9,0.7,5.3,1.3,0
84,87,Kyrgyzstan,2.2,11.6,86.2,7.590000152587891,4805.14111328125,5914985.0,74.1,46.0,7.590000152587891,25.9,0.1,1.08,2.91,4.86,5.64,3.16,2.68,4.06,0.05,4.35,3.0,509.31,343.43,4.31,689.26,540.02,1029.3,5.9,2.1,9.9,44.4,20.8,54.9,25.9,15.5,36.8,Europe,3.3,1.3,5.3,10.9,1
85,88,Laos,0.0,50.1,49.8,10.050000190734863,6543.6708984375,6787420.0,60.0,35.5,10.050000190734863,40.0,0.05,0.43,0.83,1.54,1.66,1.19,0.61,1.27,0.03,0.97,0.86,120.57,101.41,2.33,177.73,130.5,198.19,,,,,,,,,,,,,,7.0,1
86,89,Latvia,11.1,42.8,40.0,12.640000343322754,26628.458984375,1991951.0,25.0,10.2,12.640000343322754,75.0,0.12,0.93,2.91,3.09,3.49,2.28,2.76,3.04,0.06,4.11,2.37,805.88,390.91,4.83,894.51,637.09,1353.22,15.5,4.6,28.8,59.0,40.2,76.5,75.0,65.5,86.5,Europe,10.4,3.0,19.4,21.5,1
87,90,Lebanon,15.4,33.9,49.2,1.649999976158142,16358.3759765625,6398941.0,93.9,90.1,1.649999976158142,6.1,0.04,0.3,0.45,0.85,0.85,0.73,0.24,0.7,0.02,0.36,0.42,53.77,35.35,1.81,82.8,50.7,53.77,8.7,1.6,15.8,20.2,6.8,24.5,6.1,3.0,9.2,Eastern Mediterranean,3.7,0.0,7.4,1.3,0
88,91,Lesotho,3.2,57.4,10.5,4.800000190734863,2701.421875,2118532.0,82.2,70.6,4.800000190734863,17.8,0.08,0.72,1.99,3.3,3.79,2.2,1.58,2.74,0.05,3.62,2.16,247.32,222.28,3.6,326.57,283.2,598.05,5.2,1.3,9.3,50.8,24.9,61.0,17.8,9.9,26.1,Africa,1.8,0.5,3.2,3.3,0
89,92,Liberia,1.8,9.4,88.2,5.699999809265137,1630.5843505859375,4612330.0,69.2,63.7,5.699999809265137,30.8,0.05,0.25,0.42,0.88,0.98,0.63,0.52,0.69,0.03,0.66,0.5,63.93,137.06,2.39,96.47,87.4,171.58,5.2,1.3,9.2,41.3,18.7,51.3,30.8,18.9,42.7,Africa,1.8,0.5,3.1,5.2,0
90,93,Lithuania,7.3,43.6,37.1,15.380000114440918,30748.197265625,2963764.0,20.9,8.1,15.380000114440918,79.1,0.1,0.82,2.75,3.04,3.62,2.06,2.48,3.03,0.06,3.67,2.29,677.36,314.22,4.44,796.15,547.86,1042.47,11.0,3.6,19.9,62.3,44.6,79.5,79.1,70.9,89.1,Europe,4.9,1.6,8.9,24.5,1
91,94,Luxembourg,44.6,35.4,20.0,13.18000030517578,113182.7265625,569415.0,8.2,3.4,13.18000030517578,91.8,0.15,1.62,2.72,4.47,4.15,4.15,1.41,3.67,0.08,2.72,2.47,401.93,238.76,6.47,487.55,332.81,567.13,6.6,2.7,10.5,52.7,34.3,69.5,91.8,87.7,95.8,Europe,2.9,1.2,4.7,5.8,0
92,95,Madagascar,8.2,53.8,38.0,1.8799999952316284,1546.7672119140625,24850912.0,79.1,67.0,1.8799999952316284,20.9,0.07,0.58,1.07,2.39,2.61,1.69,1.37,1.79,0.04,1.83,1.34,124.61,220.88,3.32,202.51,166.54,282.73,2.6,0.5,4.7,43.5,19.9,53.1,20.9,12.0,30.0,Africa,0.9,0.2,1.6,2.8,0
93,96,Malawi,0.8,8.8,11.3,3.619999885559082,1457.503662109375,16938944.0,76.3,63.2,3.619999885559082,23.7,0.07,0.58,1.12,2.6,2.95,1.72,1.45,1.94,0.04,2.08,1.49,131.47,237.43,3.41,220.5,190.01,338.18,3.5,0.7,6.3,46.6,22.3,56.8,23.7,13.9,33.6,Africa,1.2,0.3,2.1,3.0,0
94,97,Malaysia,21.0,60.7,17.4,0.8500000238418579,24787.82421875,31068834.0,70.4,49.6,0.8500000238418579,29.6,0.04,0.37,0.57,0.99,0.94,0.91,0.51,0.8,0.03,0.57,0.54,75.06,69.58,2.03,102.02,71.16,100.11,3.0,1.0,5.0,31.2,12.7,39.6,29.6,18.2,41.2,Western Pacific,1.1,0.4,1.8,2.1,0
95,98,Maldives,37.2,30.8,31.9,2.069999933242798,17283.97265625,435590.0,92.1,85.8,2.069999933242798,7.9,0.04,0.37,0.8,1.38,1.44,1.04,0.4,1.12,0.02,0.6,0.65,86.69,46.67,1.89,122.23,71.67,75.42,2.3,0.8,3.9,4.6,1.3,5.7,7.9,3.9,12.1,South-East Asia,0.9,0.3,1.5,1.7,0
96,99,Mali,1.2,15.8,0.0,1.25,2139.736328125,18112910.0,78.1,73.2,1.25,21.9,0.05,0.25,0.33,0.82,0.89,0.61,0.46,0.62,0.03,0.56,0.46,48.04,115.24,2.29,80.79,75.26,141.3,0.8,0.0,1.5,34.3,13.8,42.7,21.9,12.8,31.1,Africa,0.7,0.0,1.4,1.3,0
97,100,Malta,29.9,36.4,28.7,7.559999942779541,39845.140625,456585.0,37.0,17.2,7.559999942779541,63.0,0.15,1.59,1.84,3.89,3.35,3.95,0.79,2.9,0.08,1.32,1.81,195.96,87.59,6.43,302.57,181.76,168.17,3.6,1.6,5.6,34.7,16.5,46.8,63.0,50.0,76.2,Europe,1.6,0.7,2.5,3.5,0
98,101,Mauritius,15.4,53.9,30.8,3.940000057220459,19897.474609375,1293159.0,68.8,45.9,3.940000057220459,31.2,0.04,0.38,1.45,1.83,2.35,1.14,0.68,1.98,0.03,1.51,1.26,360.99,145.77,2.24,441.33,294.62,516.6,5.5,1.4,9.8,32.4,13.3,41.3,31.2,19.5,43.4,Africa,1.9,0.6,3.3,3.0,0
99,102,Mexico,2.1,77.1,20.4,4.920000076293945,19268.9140625,120149896.0,57.3,23.1,4.920000076293945,42.7,0.06,0.62,1.42,2.51,2.82,1.74,1.42,2.04,0.03,1.38,1.38,257.36,291.16,2.88,344.86,252.82,398.0,2.3,0.4,4.3,42.5,20.8,54.2,42.7,29.4,56.4,Americas,1.3,0.3,2.3,6.0,0
100,103,Micronesia (country),8.5,58.1,32.8,2.440000057220459,3448.3037109375,109477.0,84.8,64.7,2.440000057220459,15.2,0.04,0.31,0.7,1.22,1.43,0.84,0.54,1.07,0.03,0.8,0.74,141.09,115.15,2.15,212.42,152.11,204.7,,,,,,,,,,,,,,2.4,0
101,104,Moldova,56.6,16.2,25.2,11.869999885559082,10360.830078125,3277390.0,33.4,11.4,11.869999885559082,66.6,0.1,0.81,2.56,2.39,2.73,1.89,2.98,2.6,0.06,3.7,2.09,690.21,398.43,4.67,681.75,531.45,1247.22,,,,,,,,,,,,,,26.1,1
102,105,Mongolia,1.9,43.6,54.5,10.970000267028809,11009.71484375,2964756.0,66.4,37.3,10.970000267028809,33.6,0.11,1.43,4.47,7.0,8.31,4.47,2.67,6.41,0.05,5.02,4.12,1206.05,336.58,4.65,1746.39,1102.0,1725.07,7.8,2.5,13.3,48.7,24.7,60.2,33.6,21.5,46.3,Western Pacific,2.8,0.9,4.8,11.6,1
103,106,Montenegro,43.1,10.8,44.1,10.920000076293944,18263.58984375,633969.0,46.0,22.9,10.920000076293944,54.0,0.09,1.06,2.17,3.54,3.58,2.91,1.63,2.87,0.05,2.34,1.97,250.35,177.46,4.35,321.97,217.96,318.2,6.0,2.2,9.9,45.2,23.9,58.4,54.0,40.4,68.2,Europe,3.4,1.4,5.5,6.2,1
104,107,Morocco,39.8,42.9,17.0,0.699999988079071,7126.2841796875,34680456.0,97.4,94.6,0.699999988079071,2.6,0.04,0.28,0.44,0.83,0.85,0.68,0.23,0.67,0.02,0.37,0.42,53.62,36.6,1.92,80.17,51.68,60.04,0.4,0.1,0.8,17.7,5.7,21.8,2.6,1.3,3.9,Eastern Mediterranean,0.2,0.1,0.3,0.8,0
105,108,Mozambique,8.3,78.7,12.4,2.190000057220459,1262.6131591796875,26843252.0,79.0,66.8,2.190000057220459,21.0,0.07,0.56,1.15,2.89,3.4,1.74,1.61,2.11,0.04,2.27,1.63,142.94,289.0,3.22,246.91,220.14,408.93,3.2,0.7,5.9,43.7,20.3,54.0,21.0,12.3,30.5,Africa,1.1,0.3,2.0,2.4,0
106,109,Myanmar,9.8,22.4,67.7,4.409999847412109,3663.142333984375,51483956.0,72.9,50.1,4.409999847412109,27.1,0.04,0.4,0.8,1.45,1.57,1.12,0.53,1.21,0.03,0.85,0.79,106.77,74.81,2.22,154.61,105.05,145.8,1.9,0.6,3.2,33.4,13.8,42.5,27.1,16.5,38.3,South-East Asia,0.7,0.2,1.3,6.6,1
107,110,Namibia,10.4,60.2,13.9,5.230000019073486,10662.830078125,2282709.0,69.7,54.3,5.230000019073486,30.3,0.07,0.71,1.86,3.31,3.68,2.2,1.75,2.65,0.04,3.76,2.13,217.0,232.52,3.07,302.64,259.29,542.64,6.3,2.1,10.9,59.7,35.5,71.6,30.3,19.1,42.4,Africa,2.2,0.8,3.7,6.1,1
108,112,Nepal,49.0,31.0,20.0,2.049999952316284,3331.871826171875,27610328.0,72.9,66.9,2.049999952316284,27.1,0.06,0.6,1.12,1.93,2.03,1.57,1.29,1.61,0.03,1.71,1.21,135.3,167.0,3.13,190.23,148.4,240.89,1.8,0.6,3.1,36.7,16.5,46.8,27.1,17.1,38.4,South-East Asia,0.7,0.2,1.2,2.3,0
109,113,Netherlands,35.8,47.8,16.4,9.550000190734863,52974.1171875,17041110.0,27.9,12.1,9.550000190734863,72.1,0.11,1.14,1.73,2.88,2.65,2.8,1.26,2.38,0.06,1.69,1.63,247.13,205.02,4.93,284.14,205.88,354.24,1.5,0.9,2.0,38.1,19.7,51.9,72.1,61.2,83.3,Europe,0.6,0.4,0.9,3.6,0
110,114,New Zealand,33.4,37.4,28.9,10.4399995803833,41086.1171875,4590591.0,25.4,10.6,10.4399995803833,74.6,0.12,1.87,3.49,6.1,5.99,5.31,1.97,5.1,0.07,3.35,3.41,359.68,227.45,5.0,539.01,339.53,375.83,4.0,2.5,5.6,42.9,24.4,58.0,74.6,64.8,85.1,Western Pacific,1.3,0.9,1.9,4.2,0
111,115,Nicaragua,0.8,39.7,59.5,5.03000020980835,5630.2958984375,6298610.0,67.5,31.6,5.03000020980835,32.5,0.09,0.97,2.7,5.15,6.11,3.1,2.4,4.11,0.04,2.69,2.77,478.85,667.1,4.01,650.58,533.6,949.85,6.6,3.7,9.7,38.7,17.4,49.3,32.5,20.8,44.9,Americas,2.8,1.8,3.9,7.7,1
112,116,Niger,13.7,45.0,41.4,0.550000011920929,1131.5191650390625,20128132.0,79.8,75.2,0.550000011920929,20.2,0.05,0.25,0.3,0.8,0.87,0.6,0.48,0.6,0.03,0.58,0.46,44.71,121.67,2.22,80.05,78.39,155.1,0.7,0.0,1.4,32.2,13.0,40.1,20.2,11.7,28.8,Africa,0.7,0.0,1.4,1.0,0
113,117,Nigeria,0.4,7.9,0.6,10.8100004196167,5514.7705078125,183995776.0,47.4,43.1,10.8100004196167,52.6,0.04,0.22,0.38,0.82,0.94,0.56,0.55,0.65,0.03,0.67,0.5,56.56,152.11,1.88,88.68,84.71,164.56,0.6,0.1,1.1,55.0,31.8,67.7,52.6,37.7,67.0,Africa,0.1,0.0,0.2,7.9,1
114,119,North Korea,0.0,2.7,97.3,,,,59.7,58.0,3.819999933242798,40.3,0.05,0.4,0.89,1.37,1.5,1.06,0.4,1.25,0.03,0.84,0.79,145.17,63.07,2.4,197.17,125.11,174.44,,,,,,,,,,,,,,3.4,0
115,120,North Macedonia,46.6,35.3,17.4,5.929999828338623,15139.251953125,2107965.0,46.3,23.1,5.929999828338623,53.7,0.09,1.06,2.05,3.38,3.32,2.88,1.52,2.7,0.05,2.01,1.8,236.12,169.58,4.15,301.59,198.43,274.8,,,,,,,,,,,,,,4.3,0
116,121,Norway,36.7,43.9,16.7,7.519999980926514,62987.515625,5190357.0,21.0,9.3,7.519999980926514,79.0,0.09,0.99,1.81,2.8,2.68,2.61,1.07,2.41,0.05,2.08,1.67,299.43,236.56,3.92,318.66,247.19,515.26,7.2,3.8,10.6,40.5,21.9,55.2,79.0,69.8,88.0,Europe,4.0,1.8,6.1,3.4,0
117,122,Oman,2.8,39.8,57.0,0.7699999809265137,34564.921875,4191784.0,91.7,85.3,0.7699999809265137,8.3,0.04,0.28,0.61,0.93,0.95,0.74,0.29,0.81,0.02,0.41,0.46,66.76,60.75,1.6,88.31,53.14,60.93,0.4,0.1,0.6,28.6,8.9,31.3,8.3,3.3,10.4,Eastern Mediterranean,0.3,0.1,0.3,1.6,0
118,123,Panama,3.5,76.9,19.4,7.710000038146973,28430.984375,3957102.0,52.3,19.5,7.710000038146973,47.7,0.09,1.0,1.6,3.34,3.29,2.75,1.38,2.42,0.04,1.42,1.59,176.12,170.53,3.92,262.7,175.39,206.82,6.8,3.7,9.9,44.5,22.7,56.6,47.7,34.0,61.5,Americas,2.8,1.8,3.9,5.3,0
